Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,464
design__inferred_latch__count,0
design__instance__count,444
design__instance__area,7533.93
design__instance_unmapped__count,0
synthesis__check_error__count,4
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.0037991341669112444
power__switching__total,0.0016880326438695192
power__leakage__total,5.967550720242798E-8
power__total,0.005487226415425539
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.0
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.0
timing__hold__ws__corner:nom_tt_025C_5v00,1.0000000433293989E+39
timing__setup__ws__corner:nom_tt_025C_5v00,1.0000000433293989E+39
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,0
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,0
clock__skew__worst_hold__corner:nom_ss_125C_4v50,0.0
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.0
timing__hold__ws__corner:nom_ss_125C_4v50,1.0000000433293989E+39
timing__setup__ws__corner:nom_ss_125C_4v50,1.0000000433293989E+39
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,0
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.0
timing__hold__ws__corner:nom_ff_n40C_5v50,1.0000000433293989E+39
timing__setup__ws__corner:nom_ff_n40C_5v50,1.0000000433293989E+39
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,1.0000000433293989E+39
timing__setup__ws,1.0000000433293989E+39
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 91.93 95.29
design__core__bbox,2.24 3.92 89.6 90.16
design__io,31
design__die__area,8760.01
design__core__area,7533.93
design__instance__count__stdcell,324
design__instance__area__stdcell,6649.26
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.882576
design__instance__utilization__stdcell,0.882576
design__rows,22
design__rows:GF018hv5v_mcu_sc7,22
design__sites,3432
design__sites:GF018hv5v_mcu_sc7,3432
design__instance__count__class:tie_cell,1
design__instance__area__class:tie_cell,8.7808
design__instance__count__class:buffer,39
design__instance__area__class:buffer,645.389
design__instance__count__class:inverter,43
design__instance__area__class:inverter,504.896
design__instance__count__class:sequential_cell,26
design__instance__area__class:sequential_cell,1255.65
design__instance__count__class:multi_input_combinational_cell,94
design__instance__area__class:multi_input_combinational_cell,3703.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,18
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ODB-0186,17
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,44
design__instance__area__class:endcap_cell,193.178
design__instance__count__class:tap_cell,48
design__instance__area__class:tap_cell,210.739
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,7078.32
design__violations,0
flow__warnings__count:STA-1140,18
global_route__vias,1253
global_route__wirelength,11239
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,29
design__instance__area__class:antenna_cell,127.322
antenna_diodes_count,0
route__net,177
route__net__special,2
route__drc_errors__iter:0,15
route__wirelength__iter:0,7429
route__drc_errors__iter:1,3
route__wirelength__iter:1,7384
route__drc_errors__iter:2,1
route__wirelength__iter:2,7376
route__drc_errors__iter:3,0
route__wirelength__iter:3,7374
route__drc_errors,0
route__wirelength,7374
route__vias,1035
route__vias__singlecut,1035
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,306.82
design__instance__count__class:fill_cell,120
design__instance__area__class:fill_cell,884.666
timing__unannotated_net__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,0
