Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,100
design__inferred_latch__count,0
design__instance__count,1333
design__instance__area,26460.9
design__instance_unmapped__count,0
synthesis__check_error__count,1
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0006652211886830628
power__switching__total,0.00029739385354332626
power__leakage__total,0.0
power__total,0.0009626150131225586
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2555116468504804
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.253666955731743
timing__hold__ws__corner:nom_tt_025C_3v30,0.1618010771162045
timing__setup__ws__corner:nom_tt_025C_3v30,14.395343990956567
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.161801
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,17.655672
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.25540947857374974
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2535713655266193
timing__hold__ws__corner:nom_ff_n40C_3v60,0.07391681920206271
timing__setup__ws__corner:nom_ff_n40C_3v60,14.681909437106919
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.073917
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,18.110815
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,0
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.25566136042958526
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.25386474196917375
timing__hold__ws__corner:nom_ss_125C_3v00,0.2965021645463812
timing__setup__ws__corner:nom_ss_125C_3v00,13.928560032924775
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,0.296502
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,16.927332
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.25475111630152725
clock__skew__worst_setup,0.25298544530880246
timing__hold__ws,0.07365386287124333
timing__setup__ws,13.918173674191056
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.073654
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.909521
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 185.0 185.0
design__core__bbox,10.08 11.76 174.72 172.48
design__io,10
design__die__area,34225
design__core__area,26460.9
design__instance__count__stdcell,436
design__instance__area__stdcell,7312.21
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.27634
design__instance__utilization__stdcell,0.27634
design__rows,41
design__rows:unithd,41
design__sites,12054
design__sites:unithd,12054
design__instance__count__class:tie_cell,43
design__instance__area__class:tie_cell,377.574
design__instance__count__class:inverter,4
design__instance__area__class:inverter,35.1232
design__instance__count__class:sequential_cell,43
design__instance__area__class:sequential_cell,3492.56
design__instance__count__class:multi_input_combinational_cell,67
design__instance__area__class:multi_input_combinational_cell,1448.83
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,93
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:tap_cell,254
design__instance__area__class:tap_cell,1115.16
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,8
design__io__hpwl,1218738
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,249.498
design__instance__displacement__mean,0.572
design__instance__displacement__max,13.238
route__wirelength__estimated,4519.07
design__violations,0
design__instance__count__class:timing_repair_buffer,11
design__instance__area__class:timing_repair_buffer,250.253
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
flow__warnings__count:STA-1140,12
design__instance__count__class:clock_buffer,14
design__instance__area__class:clock_buffer,592.704
global_route__vias,1337
global_route__wirelength,8500
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,184
route__net__special,2
route__drc_errors__iter:0,16
route__wirelength__iter:0,5136
route__drc_errors__iter:1,0
route__wirelength__iter:1,5027
route__drc_errors,0
route__wirelength,5027
route__vias,1071
route__vias__singlecut,1071
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,219.885
design__instance__count__class:fill_cell,897
design__instance__area__class:fill_cell,19148.7
timing__unannotated_net__count__corner:nom_tt_025C_3v30,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,0
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.2548411553913708
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.25301417233037704
timing__hold__ws__corner:min_tt_025C_3v30,0.1614609047718386
timing__setup__ws__corner:min_tt_025C_3v30,14.401512390255839
